Course Name,Identifier,Block
AR4100 Drawing,AR4100-001,C13L5
AR4110 Painting,AR4110-001,D135L
AR4310 Digital Photography,AR4310-001,H24
AR4320 Art and Technology,AR4320-001,G3L5L
AR4500 Advanced Drawing,AR4500-001,M12345
AR4510 Advanced Painting,AR4510-001,M12345
AR4520 Advanced Studio Art,AR4520-001,M12345
AS4030 Writing and American Studies,AS4030-001,A12L34
AS4030 Writing and American Studies,AS4030-002,A12L34
AS4030 Writing and American Studies,AS4030-003,B124L5
AS4030 Writing and American Studies,AS4030-004,B124L5
AS4050 American Studies,AS4050-001,A12L34
AS4050 American Studies,AS4050-002,A12L34
AS4050 American Studies,AS4050-003,B124L5
AS4050 American Studies,AS4050-004,B124L5
AS4050 American Studies,AS4050-005,C13L45
AS4050 American Studies,AS4050-006,C13L45
AS4050 American Studies,AS4050-007,C13L45
AS4050 American Studies,AS4050-008,C13L45
AS4050 American Studies,AS4050-009,D1235L
AS4050 American Studies,AS4050-010,D1235L
AS4050 American Studies,AS4050-011,D1235L
AS4050 American Studies,AS4050-012,E12L35
AS4050 American Studies,AS4050-013,E12L35
AS4050 American Studies,AS4050-014,E12L35
AS4050 American Studies,AS4050-015,E12L35
AS4050 American Studies,AS4050-016,E12L35
AS4050 American Studies,AS4050-017,E12L35
AS4050 American Studies,AS4050-018,F134L5
AS4050 American Studies,AS4050-019,F134L5
AS4050 American Studies,AS4050-020,F134L5
AS4050 American Studies,AS4050-021,F134L5
AS4050 American Studies,AS4050-022,G13L5L
AS4050 American Studies,AS4050-023,G13L5L
BI3580 Classical Genetics (*M*),BI3580-001,C13L45
BI3640 Developmental Biology (*R*),BI3640-001,A12L34
BI3640 Developmental Biology (*R*),BI3640-002,E12L35
BI4010 Anatomy & Physiology,BI4010-001,B124L5
BI4010 Anatomy & Physiology,BI4010-002,D1235L
BI4010 Anatomy & Physiology,BI4010-003,F134L5
BI4020 Ecology (*R*),BI4020-001,B124L5
BI4020 Ecology (*R*),BI4020-002,F134L5
BI4040 Climate Change Biology (*M*),BI4040-001,A12L34
BI4040 Climate Change Biology (*M*),BI4040-002,E12L35
BI4110 Molecular Genetics (*R*),BI4110-001,A12L34
BI4110 Molecular Genetics (*R*),BI4110-002,E12L35
BI4120 Population Genetics (*M*),BI4120-001,B124L5
BI4210 AP Biology (I) (*R*),BI4210-001,B124L5
BI4210 AP Biology (I) (*R*),BI4210-003,D1235L
BI4922 Research in Biology III (*R*),BI4922-001,F134L5G13L5L
BI4922 Research in Biology III (*R*),BI4922-002,F134L5G13L5L
CH3500 Chemistry Core - Atoms & Molecules,CH3500-001,A12L34
CH3500 Chemistry Core - Atoms & Molecules,CH3500-002,E12L35
CH3500 Chemistry Core - Atoms & Molecules,CH3500-003,C13L45
CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-001,D1235L
CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-001,A12L34
CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-003,E12L35
CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-004,C13L45
CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-005,B124L5
CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-006,F134L5
CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-007,B124L5
CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-008,F134L5
CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-009,D1235L
CH4020 AP Chemistry (I): Atoms & Molecules (*M*),CH4020-010,G13L5L
CH4130 Organic Chemistry,CH4130-001,C13L45
CH4130 Organic Chemistry,CH4130-002,B124L5
CH4280 Materials Chemistry (*R*),CH4280-001,A12L34
CH4911 Research Computational Sci II,CH4911-001,F1345
CH4922 Research Chem III (*R*),CH4922-001,F134L5G13L5L
CH4922 Research Chem III (*R*),CH4922-002,F134L5G13L5L
CN3051 Journeys into Chinese I,CN3051-001,C1345
CN3051 Journeys into Chinese I,CN3051-002,D1235
CN3651 Navigating in Chinese + Global Understanding I,CN3651-001,C13L45
CN3651 Navigating in Chinese + Global Understanding I,CN3651-002,D1235L
CN4051 Advanced Chinese I,CN4051-001,A1234
CN4651 Readings in Chinese with Topics I,CN4651-001,B1245
CN4851 AP Chinese Language and Culture I,CN4851-001,B1245
CS4020 Web Development,CS4020-001,D1235L
CS4020 Web Development,CS4020-002,E12L35
CS4020 Web Development,CS4020-003,C13L45
CS4040 Game Design and Simulation,CS4040-001,E12L35
CS4240 Procedural and Object-Oriented Programming,CS4240-001,B124L5
CS4240 Procedural and Object-Oriented Programming,CS4240-002,F134L5
CS4260 Java with Topics,CS4260-001,A12L34
CS4340 Data Structures with C,CS4340-001,C13L45
DR4101 Theater Performance Workshop,DR4101-001,H3
EE3100 CAD/CAM,EE3100-001,A12L34
EE4000 Mechanical Engineering,EE4000-001,B124L5
EE4000 Mechanical Engineering,EE4000-002,F134L5
EE4020 Electrical Engineering,EE4020-001,B124L5
EE4020 Electrical Engineering,EE4020-002,D1235L
EE4040 Architecture,EE4040-001,G13L5L
